gold_commodity,unit,total_tier,bycountry_tier,gold_years,benchmark_years,total_ok_years,bycountry_ok_years,gold_peak_total,pipeline_match
Copper Part Wrought,Tons,MIXED,MIXED,2,1886;1891,1886;1891,1886;1891,2935,COPPER|Part Wrought
Wool Sheep and Lambs,Lbs. (Pounds),MIXED,WEAK,5,1876;1881;1886;1891;1896,1876;1891;1896,1876;1896,715470708,WOOL|Sheep or Lambs'
Gum Kowrie,CWTS (Hundredweights),MIXED,WEAK,5,1876;1881;1886;1891;1896,1881;1886;1891,1881;1886,74767,GUM|Kowrie
Nuts and Kernels for expressing Oil,Tons,MIXED,WEAK,5,1876;1881;1886;1891;1896,1876;1881;1896,1881,62930,NUTS AND KERNELS|Commonly used for expressing Oil therefrom
Gutta Percha,CWTS (Hundredweights),MIXED,WEAK,2,1886;1891,1886;1891,1886,60911,GUTTA PERCHA
Paraffin,CWTS (Hundredweights),WEAK,SOLID,5,1876;1881;1886;1891;1896,,1876;1881;1886;1891;1896,725398,PARAFFINE
Tea,Lbs. (Pounds),WEAK,WEAK,5,1876;1881;1886;1891;1896,1881;1891,1881;1891,265394122,TEA
Leather Undressed,Lbs. (Pounds),WEAK,WEAK,3,1886;1891;1896,1886,1886,99613224,"LEATHER, UNDRESSED"
Petroleum Refined,Gallons,WEAK,WEAK,2,1876;1881,1876,1876,58371386,PAPER|Refined
Hides Tanned not otherwise Dressed,Lbs. (Pounds),WEAK,WEAK,2,1876;1881,1876,1876,41870353,"HIDES|Tanned, not otherwise Dressed"
Fruit Preserved without Sugar Unenumerated,Lbs. (Pounds),WEAK,WEAK,4,1876;1881;1886;1891,1876,1876,38182759,"FRUIT|Preserved without Sugar, Unenumerated"
Wheat Meal and Flour,CWTS (Hundredweights),WEAK,WEAK,5,1876;1881;1886;1891;1896,1886;1891,1886;1891,21320200,MEAL AND FLOUR|Wheat Meal or Flour
Skins Furs Pelts Furs Unenumerated,Number,WEAK,WEAK,2,1876;1881,1876,,21310488,"SKINS, FURS, AND PELTS|Sheep and Lamb, Undressed"
Linen Yarn,Lbs. (Pounds),WEAK,WEAK,5,1876;1881;1886;1891;1896,1891;1896,1891;1896,20069122,LINEN|Yarn
Wine Total of all Kinds,Gallons,WEAK,WEAK,5,1876;1881;1886;1891;1896,1886;1891,1886;1891,19950723,WINE|Total of all Kinds
Goats Wool or Hair,Lbs. (Pounds),WEAK,WEAK,4,1876;1881;1886;1891,1881;1886,1881;1886,19527200,WOOL|Goats' Wool or Hair
Cotton Waste,Lbs. (Pounds),WEAK,WEAK,5,1876;1881;1886;1891;1896,1876;1881,1876;1881,19503049,COTTON|Waste
Sugar Unrefined Total,CWTS (Hundredweights),WEAK,WEAK,5,1876;1881;1886;1891;1896,1876,1876,18651383,SUGAR|Unrefined of all Kinds
Percussion Caps,Number,WEAK,WEAK,2,1876;1881,1876,1876,14251000,"CANNON AND MORTARS, MOUNTED OR ACCOMPANIED WITH CARRIAGES|Percussion Caps"
Skins Furs Pelts Sheep Undressed,Number,WEAK,WEAK,4,1881;1886;1891;1896,,1886,13364634,WINE|Red
Sugar Refined and Sugar Candy,CWTS (Hundredweights),WEAK,WEAK,5,1876;1881;1886;1891;1896,1876,1876,12131275,"SUGAR|Refined, or Sugar equal in quality thereto, and Sugar Candy"
Wine Red in Casks,Gallons,WEAK,WEAK,2,1891;1896,1891,1891,11019775,"WINE|Red, in Casks"
Spirits Rum,Proof Gallons,WEAK,WEAK,5,1876;1881;1886;1891;1896,1886;1891,1886;1891,10395335,SPIRITS|Rum
"Hides Tawed Curried or in any way Dress, not being Varnished Japanned or Enamelled",Lbs. (Pounds),WEAK,WEAK,2,1876;1881,1876,1876,9648346,"HATS OR BONNETS|Tawed, Curried, or in any way Dressed, not being Varnished, Japanned, or Enamelled"
Sugar Unrefined Cane and Other Sorts,CWTS (Hundredweights),WEAK,WEAK,3,1886;1891;1896,1891,1891,9461866,"SUGAR|Unrefined: Cane, and Other Sorts"
Spirits Brandy,Proof Gallons,WEAK,WEAK,4,1876;1881;1886;1891,1891,1891,7913092,SPIRITS|Brandy
Apples Raw,Bushels,WEAK,WEAK,3,1886;1891;1896,1891,1891,6176956,"FLOWERS, ARTIFICIAL|Apples, Raw"
"Wood and Timber Fir - Sawn or Split, Planed or Dressed",Loads,WEAK,WEAK,5,1876;1881;1886;1891;1896,1876;1881,1876;1881,5877449,"WOOD AND TIMBER|Sawn or Split, Planed or Dressed : Fir"
Iron Ore Including Chrome,Tons,WEAK,WEAK,5,1876;1881;1886;1891;1896,1876;1881,1876;1881,5438307,IRON|Ore (including Chrome)
Wool Alpaca Llama and Vicuna,Lbs. (Pounds),WEAK,WEAK,5,1876;1881;1886;1891;1896,1876,1876,4962080,"WOOL|Alpaca, Llama, and Vicuna"
Fruit Raw unenumerated,Bushels,WEAK,WEAK,4,1881;1886;1891;1896,1886;1891,1886;1891,4045691,FRUIT|Unenumerated : Raw
Jute Yarn,Lbs. (Pounds),WEAK,WEAK,2,1886;1896,1886,1886,3948886,JUTE|Yarn
Cocoa or Chocolate ground prepared or in anyway manufactured,Lbs. (Pounds),WEAK,WEAK,4,1881;1886;1891;1896,1881,1881,3794422,"COCOA OR CHOCOLATE, GROUND, PREPARED OR IN ANYWAY MANUFACTURED"
Iron Manufactures Unenumerated,CWTS (Hundredweights),WEAK,WEAK,2,1886;1896,1886,1886,3741567,IRON MANUFACTURES|Unenumerated
Hats and Bonnets of other Material,Number,WEAK,WEAK,5,1876;1881;1886;1891;1896,1886,1886,3603765,PAPER|Of Other Material
"Iron and Steel, Manufactures of, Unenumerated",CWTS (Hundredweights),WEAK,WEAK,2,1881;1891,1881,1881,3506926,"IRON|Manufactures of Iron and Steel, Unenumerated"
Tobacco Manufactured Cigars,Lbs. (Pounds),WEAK,WEAK,5,1876;1881;1886;1891;1896,1876,1876,3380969,FRUIT|Manufactured : Cigars
Nitre Cubic,CWTS (Hundredweights),WEAK,WEAK,4,1876;1881;1886;1891,1876;1891,1876;1891,3301546,"NITRE, CUBIC"
Wine White in Casks,Gallons,WEAK,WEAK,2,1891;1896,1891,1891,3187945,"WINE|White, in Casks"
Jute Yarn and Waste of Jute,Lbs. (Pounds),WEAK,WEAK,3,1876;1881;1891,1876,1876,3021391,JUTE|Yarn and Waste of
Peas,CWTS (Hundredweights),WEAK,WEAK,5,1876;1881;1886;1891;1896,1896,1896,3018657,CORDAGE|Peas
Mutton Fresh,CWTS (Hundredweights),WEAK,WEAK,3,1886;1891;1896,1886,,2895158,"MUTTON, FRESH"
Seeds Garden unenumerated,Lbs. (Pounds),WEAK,WEAK,5,1876;1881;1886;1891;1896,1891;1896,1891;1896,2675056,"COTTON|Garden, unenumerated"
Beef Fresh,CWTS (Hundredweights),WEAK,WEAK,4,1881;1886;1891;1896,1881,1881,2659700,FISH|Fresh
Sugar Refined In Lumps and Loaves,CWTS (Hundredweights),WEAK,WEAK,3,1886;1891;1896,1896,1896,2645654,"SUGAR|Refined, or rendered by any process equal thereto : In Lumps and Loaves"
Spirits Unenumerated not Sweetened or Mixed,Proof Gallons,WEAK,WEAK,3,1876;1886;1896,1886,1886,2324405,"SPIRITS|Unenumerated, not Sweetened or Mixed"
Tobacco Manufactured Cavendish or Negrohead,Lbs. (Pounds),WEAK,WEAK,5,1876;1881;1886;1891;1896,1876;1881,1876;1881,2065963,SPIRITS|Manufactured : Cavendish or Negrohead
Hemp Dressed or Undressed,CWTS (Hundredweights),WEAK,WEAK,2,1886;1891,1886,1886,1947408,"HEMP, DRESSED OR UNDRESSED"
Spirits Unenumerated not Sweetened,Proof Gallons,WEAK,WEAK,2,1881;1891,1891,1891,1639895,"SPIRITS|Unenumerated, not Sweetened or Mixed"
Glucose,CWTS (Hundredweights),WEAK,WEAK,5,1876;1881;1886;1891;1896,1876;1881,1876;1881,1539127,"SUGAR|Glucose, Solid or Liquid"
"Glass Manufactures, Unenumerated",CWTS (Hundredweights),WEAK,WEAK,5,1876;1881;1886;1891;1896,1876,1876,1333086,"GLASS|Manufactures, Unenumerated"
Hemp Rough or Undressed,CWTS (Hundredweights),WEAK,WEAK,2,1876;1881,1881,1881,1314191,HEMP|Rough or Undressed
Margarine,CWTS (Hundredweights),WEAK,WEAK,2,1891;1896,1891,1891,1235430,MARGARINE
"Window Glass (not being Plate Glass), and German Sheet Glass, including Shades and Cylinders",CWTS (Hundredweights),WEAK,WEAK,5,1876;1881;1886;1891;1896,1876,1876,1184311,"GLASS|Window Glass (not being Plate Glass), and German Sheet Glass, including Shades and Cylinders"
Feathers Ornamental,Lbs. (Pounds),WEAK,WEAK,5,1876;1881;1886;1891;1896,1881,1881,1166512,FEATHERS|Ornamental
Palm Oil,CWTS (Hundredweights),WEAK,WEAK,5,1876;1881;1886;1891;1896,1876;1881,1876;1881,1146241,OIL|Palm
Sheep and Lambs,Number,WEAK,WEAK,5,1876;1881;1886;1891;1896,1876;1881,1876;1881,1041329,COWS|Sheep and Lambs
Seeds Unenumerated Other Sorts,CWTS (Hundredweights),WEAK,WEAK,5,1876;1881;1886;1891;1896,1886;1891,1886;1891,987195,"SEEDS|Unenumerated, other sorts"
Chicory Roasted or Ground,Lbs. (Pounds),WEAK,WEAK,5,1876;1881;1886;1891;1896,1881,1881,886684,CHICORY|Roasted or Ground
Muskets Rifles and Guns of any other Sort and Pistols,Number,WEAK,WEAK,3,1876;1881;1886,1876,1876,870935,"ARMS, AMMUNITION, AND MILITARY STORES|Muskets, Rifles, and Guns of any other Sort, and Pistols"
Skins Furs Pelts Unenumerated Other Sorts Undressed,Number,WEAK,WEAK,4,1881;1886;1891;1896,1881,1881,825829,"SKINS, FURS, AND PELTS|Unenumerated, other sorts, Undressed"
Opium,Lbs. (Pounds),WEAK,WEAK,5,1876;1881;1886;1891;1896,1886;1891,1886;1891,793146,DRUGS|Opium
Fresh Herrings,CWTS (Hundredweights),WEAK,WEAK,2,1891;1896,1896,1896,773591,"CHINA, OR PORCELAIN, AND EARTHENWARE|Fresh (not of British taking) : Herrings"
Coffee Raw,CWTS (Hundredweights),WEAK,WEAK,2,1891;1896,1896,1896,726868,"COFFEE, RAW"
Hides Raw Dry,CWTS (Hundredweights),WEAK,WEAK,3,1876;1886;1896,1886,1886,721752,"HIDES, RAW, OR PIECES THEREOF|Dry"
Skins Furs Pelts Seal,Number,WEAK,WEAK,5,1876;1881;1886;1891;1896,1891,1891,717121,"SKINS, FURS, AND PELTS|Seal"
Bark For Tanners and Dyers Use,CWTS (Hundredweights),WEAK,WEAK,3,1876;1881;1891,1876,1876,672319,BARK|For Tanners' or Dyers' Use
Myrabolans,CWTS (Hundredweights),WEAK,WEAK,5,1876;1881;1886;1891;1896,1876,1876,632265,MYRABOLANS
Milk Condensed,CWTS (Hundredweights),WEAK,WEAK,2,1891;1896,1891,1891,611335,"MILK, CONDENSED"
Hides Raw Wet,CWTS (Hundredweights),WEAK,WEAK,3,1876;1886;1896,1886,1886,604734,"HIDES, RAW, OR PIECES THEREOF|Wet"
Wine Red in Bottles Still,Gallons,WEAK,WEAK,2,1891;1896,1896,1896,603470,"TOBACCO|Red, in Bottles, Still"
Meat Unenumerated Preserved otherwise than by Salting,CWTS (Hundredweights),WEAK,WEAK,2,1881;1886,1881,1881,575482,"MEAT, UNENUMERATED|Preserved, otherwise than by Salting"
Oxen and Bulls,Number,WEAK,WEAK,5,1876;1881;1886;1891;1896,1881;1886,1881;1886,558361,ANIMALS LIVING|Oxen and Bulls
Hides Untanned Wet,CWTS (Hundredweights),WEAK,WEAK,2,1881;1891,1881,1881,555690,"HIDES, NOT TANNED, TAWED, CURRIED, OR IN ANY WAY DRESSED|Wet"
Hides Untanned Dry,CWTS (Hundredweights),WEAK,WEAK,2,1881;1891,1881,1881,554110,"HIDES, NOT TANNED, TAWED, CURRIED, OR IN ANY WAY DRESSED|Dry"
Sago and Sago Flour,CWTS (Hundredweights),WEAK,WEAK,4,1876;1881;1886;1891,1876;1881,1876;1881,548797,SAGO AND SAGO FLOUR
Meal Unenumerated,CWTS (Hundredweights),WEAK,WEAK,4,1876;1886;1891;1896,1876,1876,536647,"MEAL AND FLOUR|Meal, Unenumerated"
Dye Stuffs Bark,CWTS (Hundredweights),WEAK,WEAK,3,1886;1891;1896,1886,1886,489846,"DYE STUFFS, AND SUBSTANCES USED IN TANNING|Bark"
Seeds Rape,Qrs. (Quarters),WEAK,WEAK,4,1876;1886;1891;1896,1891,1891,459973,SEEDS|Rape
Caoutchouc,CWTS (Hundredweights),WEAK,WEAK,5,1876;1881;1886;1891;1896,1876;1881,1876;1881,431148,CAOUTCHOUC
Stones Marble Slate and other Sorts of Stone Rough Hewn or Manufactured,Tons,WEAK,WEAK,4,1876;1881;1886;1891,1876;1881,1876;1881,428072,"STONES, MARBLE, SLATE, AND OTHER SORTS OF STONE, ROUGH, HEWN, OR MANUFACTURED"
Wine White in Bottles Still,Gallons,WEAK,WEAK,2,1891;1896,1891,1891,383647,"WINE|White, in Bottles—Still"
None,CWTS (Hundredweights),WEAK,WEAK,5,1876;1881;1886;1891;1896,,1876;1891,372105,FLAX|Tow or Codilla of
Fruit Dried unenumerated,Bushels,WEAK,WEAK,5,1876;1881;1886;1891;1896,1886;1891,1886;1891,371998,FRUIT|Unenumerated : Dried
Maize or Indian Corn Meal,CWTS (Hundredweights),WEAK,WEAK,5,1876;1881;1886;1891;1896,1886;1891,1886;1891,368100,MEAL AND FLOUR|Maize or Indian Corn Meal
Spirits Geneva,Proof Gallons,WEAK,WEAK,5,1876;1881;1886;1891;1896,1886;1891,1886;1891,359088,SPIRITS|Geneva
"Wood and Timber Sawn or Split, Planed or Dressed Unenumerated",Loads,WEAK,WEAK,5,1876;1881;1886;1891;1896,1876;1881,1876;1881,358417,"SUGAR|Sawn or Split, Planed or Dressed : Unenumerated"
Tobacco Manufactured Other Sorts,Lbs. (Pounds),WEAK,WEAK,4,1876;1881;1886;1891,1886,1886,337392,TOBACCO|.. Other Manufactured Tobacco
Paper Making Materials Pulp of Wood,Tons,WEAK,WEAK,2,1891;1896,1891,1891,327080,"RAGS, AND OTHER MATERIALS FOR MAKING PAPER|Pulp of Wood"
China or Porcelain and Earthenware,CWTS (Hundredweights),WEAK,WEAK,3,1886;1891;1896,1886,1886,323708,CHINA OR PORCELAIN AND EARTHENWARE
Pork Fresh,CWTS (Hundredweights),WEAK,WEAK,5,1876;1881;1886;1891;1896,1876,1876,299411,FISH|Fresh
Dye Stuffs Unenumerated,CWTS (Hundredweights),WEAK,WEAK,5,1876;1881;1886;1891;1896,1876,1876,289064,"COTTON MANUFACTURES|DYE STUFFS, Unenumerated"
Meat Unenumerated Salted or Fresh,CWTS (Hundredweights),WEAK,WEAK,5,1876;1881;1886;1891;1896,1876,1876,279390,"MEAT|Salted or Fresh, not otherwise described"
Manure Unenumerated,Tons,WEAK,WEAK,5,1876;1881;1886;1891;1896,1891,,262109,MANURES|Bones for Manure
Metal Leaf not Gold,Packets of 250 Leaves,WEAK,WEAK,3,1876;1886;1896,1896,1896,250262,"METAL|Leaf, not Gold"
Cocoa-nut Oil,CWTS (Hundredweights),WEAK,WEAK,2,1881;1891,1881,1881,248412,OIL|Coco-nut
Coffee and Chicory mixed,Lbs. (Pounds),WEAK,WEAK,3,1886;1891;1896,1891,1891,232786,"COCOA|COFFEE AND CHICORY, mixed"
Esparto and other Vegetable Fibres for making Paper,Tons,WEAK,WEAK,4,1876;1881;1886;1891,1876,1876,212666,RAGS AND OTHER MATERIALS FOR MAKING PAPER|Esparto and other Vegetable Fibres
Guano,Tons,WEAK,WEAK,5,1876;1881;1886;1891;1896,1876;1891,1876;1891,199291,MANURES|GUANO
Vinegar,Gallons,WEAK,WEAK,4,1876;1886;1891;1896,1891;1896,1891;1896,186237,VINEGAR
Meat unenumerated Preserved otherwise than by Salting Other Sorts,CWTS (Hundredweights),WEAK,WEAK,2,1891;1896,1891,1891,177238,"MEAT, UNENUMERATED|Other Sorts"
Sardines Cured or Salted,CWTS (Hundredweights),WEAK,WEAK,2,1891;1896,1896,1896,175723,"FISH (INCLUDING TURTLE)|Cured, Sardines"
Seeds Unenumerated for expressing Oil therefrom,Qrs. (Quarters),WEAK,WEAK,5,1876;1881;1886;1891;1896,1886,1886,161742,"SEEDS|Unenumerated, for expressing oil   therefrom"
Manganese Ore,Tons,WEAK,WEAK,5,1876;1881;1886;1891;1896,1876;1881,1876;1881,159982,MANGANESE ORE
"Gum Lac, Seed, Shell, Stick, and Dye",CWTS (Hundredweights),WEAK,WEAK,5,1876;1881;1886;1891;1896,1876;1881,1876;1881,157352,"GUM|Lac, Seed, Shell, Stick, and Dye"
Skins Furs Pelts Unenumerated Dressed not Leather,Number,WEAK,WEAK,3,1886;1891;1896,1886,1886,148033,"SKINS, FURS, AND PELTS|In any way Dressed, (not Leather)"
Bark Peruvian,CWTS (Hundredweights),WEAK,WEAK,5,1876;1881;1886;1891;1896,1876;1881,1876;1881,145367,BARK|Peruvian
Wood and Timber Hewn Oak,Loads,WEAK,WEAK,5,1876;1881;1886;1891;1896,1876;1881,1876;1881,145358,"WOOD AND TIMBER|Hewn, Fir : Oak"
Figs and Fig Cake,CWTS (Hundredweights),WEAK,WEAK,4,1881;1886;1891;1896,1886;1896,1886;1896,143339,FRUIT|Figs and Fig Cake
Chicory Raw or Kiln-Dried,CWTS (Hundredweights),WEAK,WEAK,5,1876;1881;1886;1891;1896,1881,1881,137495,CHICORY|Raw or Kiln-dried
Wood and Timber Furniture Woods Hardwoods and Veneers Unenumerated,Tons,WEAK,WEAK,5,1876;1881;1886;1891;1896,1886,,136950,WOOD AND TIMBER|Furniture and Hardwoods
Soap Transparent in the manufacture of which Spirit has been used,Lbs. (Pounds),WEAK,WEAK,4,1881;1886;1891;1896,1886,1886,126863,"PLATE|SOAP, Transparent, in the Manufacture of which Spirit has been used"
Flint Glass,CWTS (Hundredweights),WEAK,WEAK,2,1876;1881,1876,1876,123840,GLASS|Flint Glass
Copper Regulus (and Precipitate from 1886 onward),Tons,WEAK,WEAK,5,1876;1881;1886;1891;1896,1886,1886,123337,COPPER|Regulus and Precipitate
Succades including all Fruits and Vegetables preserved in Sugar,CWTS (Hundredweights),WEAK,WEAK,4,1876;1881;1886;1891,1886,1886,120752,SUCCADES (INCLUDING ALL FRUITS AND VEGETABLES PRESERVED IN SUGAR)
Other Materials and Pulp of Rags and of Wood for Making Paper,Tons,WEAK,WEAK,3,1881;1886;1891,1881,1881,117663,"RAGS, AND OTHER MATERIALS, FOR MAKING PAPER|Other Materials, and Pulp of Rags and of Wood"
Hemp Tow or Codilla of Hemp,CWTS (Hundredweights),WEAK,WEAK,5,1876;1881;1886;1891;1896,1876,1876,115591,HEMP|Tow or Codilla of
Plate of Silver gilt or ungilt,Ozs. Troy. ,WEAK,WEAK,5,1876;1881;1886;1891;1896,1896,1896,112758,"PLATE|Of Silver, gilt or ungilt"
Iron Bar Angle Bolt and Rod,Tons,WEAK,WEAK,2,1886;1896,1896,1896,105466,"IRON|Bar, angle, bolt, and rod"
Copper Ore,Tons,WEAK,WEAK,5,1876;1881;1886;1891;1896,1886;1896,1886;1896,102805,"COPPER, ORE OF"
Moss Litter,Tons,WEAK,WEAK,2,1891;1896,1891,1891,99229,MOSS LITTER
Ginger Spice,CWTS (Hundredweights),WEAK,WEAK,3,1886;1891;1896,1896,1896,96217,SPICES|Ginger
Wood and Timber Hewn Unenumerated,Loads,WEAK,WEAK,5,1876;1881;1886;1891;1896,1881;1891,1881;1891,93289,"WOOD AND TIMBER|Hewn, Teak : Unenumerated"
Indigo,CWTS (Hundredweights),WEAK,WEAK,5,1876;1881;1886;1891;1896,1876;1881,1876;1881,89941,ICE|INDIGO
Hemp Dressed,CWTS (Hundredweights),WEAK,WEAK,2,1876;1881,1881,1881,86322,HEMP|Dressed
Platina Wrought and Unwrought,Ozs. Troy. ,WEAK,WEAK,5,1876;1881;1886;1891;1896,1876;1881,1876;1881,84991,"PLATINA, WROUGHT AND UNWROUGHT"
Vegetable Substances applicable to the same uses as Hemp or Flax,CWTS (Hundredweights),WEAK,WEAK,5,1876;1881;1886;1891;1896,1876;1881,1876;1881,82624,HEMP|Vegetable Substances applicable to the same   uses as Hemp or Flax
Silk Knobs or Husks and Waste,CWTS (Hundredweights),WEAK,WEAK,5,1876;1881;1886;1891;1896,1886,1886,77556,"SILK|Knobs and Husks of Silk, and Waste"
Iron Manufactures Girders Beams and Pillars,Tons,WEAK,WEAK,2,1891;1896,1896,1896,75197,"HORNS, TIPS AND PIECES OF HORNS AND HOOFS|Manufactures of Iron or Steel: Girders, Beams, and Pillars"
Spirits Sweetened or Mixed Tested,Proof Gallons,WEAK,WEAK,3,1881;1886;1891,1891,1891,68647,"SPIRITS|Unenumerated, Sweetened or Mixed (Tested)"
Wood and Timber Hewn Teak,Loads,WEAK,WEAK,5,1876;1881;1886;1891;1896,1881;1891,1881,66367,"WOOD AND TIMBER|Hewn, Teak"
China or Porcelain Ware,CWTS (Hundredweights),WEAK,WEAK,2,1876;1881,1876,1876,61971,"CHEMICAL MANUFACTURES AND PRODUCTS, UNENUMERATED|CHINA or PORCELAIN WARE"
Copper Unwrought,Tons,WEAK,WEAK,3,1886;1891;1896,1886,1886,60430,"COPPER|Unwrought, in bars, blocks, or     slabs, cakes, or ingots"
Cows,Number,WEAK,WEAK,5,1876;1881;1886;1891;1896,1876;1881,1876;1881,58520,COWS
Lead Ore,Tons,WEAK,WEAK,5,1876;1881;1886;1891;1896,1876;1881,1876;1881,56272,LEAD|Ore
Perfumed Spirits and Cologne Water,Gallons,WEAK,WEAK,4,1881;1886;1891;1896,1886,1886,54318,SPIRITS|.. Perfumed
"Mahogany - Furniture, Hardwoods or Veneers",Tons,WEAK,WEAK,5,1876;1881;1886;1891;1896,1881,1881,53772,"WOOD AND TIMBER|Furniture, Hardwoods, and Veneers : Mahogany"
Wine in Bottles Sparkling Hock,Gallons,WEAK,WEAK,2,1891;1896,1896,1896,47516,"TEA|White, in Bottles: Sparkling : Hock"
Imitation Rum,Proof Gallons,WEAK,WEAK,2,1891;1896,1891,1891,45036,"FRUIT|Rum, Imitation"
Calves,Number,WEAK,WEAK,4,1876;1881;1886;1891,1876;1881,1876;1881,44098,COWS|Calves
Books including Maps and Charts,CWTS (Hundredweights),WEAK,WEAK,3,1886;1891;1896,1886,1886,43851,"BOOKS BOUND OR UNBOUND, INCLUDING MAPS AND CHARTS"
Beer and Ale of other Sorts,Barrels,WEAK,WEAK,5,1876;1881;1886;1891;1896,1876;1881,1876;1881,43612,BEER AND ALE|Of other Sorts
Swine,Number,WEAK,WEAK,2,1876;1886,1876,1876,43558,COWS|Swine
Playing Cards,Dozen Packs,WEAK,WEAK,4,1876;1881;1886;1896,1876,1876,42067,"CARDS, PLAYING"
"Brass, Bronze, and Metal, Bronzed or Lacquered",CWTS (Hundredweights),WEAK,WEAK,5,1876;1881;1886;1891;1896,1876,1876,40850,"BRASS, BRONZE, AND METAL, BRONZED AND LACQUERED"
Coffee Kiln Dried Roasted or Ground,Lbs. (Pounds),WEAK,WEAK,2,1891;1896,1896,1896,40205,"COFFEE|Kiln dried, roasted or ground"
Imitation Lard,CWTS (Hundredweights),WEAK,WEAK,2,1891;1896,1891,1891,39663,LARD|Imitation Lard (including all kinds of Artificial or Imitation Lard)
Rags Woollen applicable to other uses than Manure torn up or not,Tons,WEAK,WEAK,5,1876;1881;1886;1891;1896,1881,1881,37037,"RAGS, WOOLLEN, APPLICABLE TO OTHER USES THAN MANURE, TORN UP OR NOT"
Zinc Ore,Tons,WEAK,WEAK,5,1876;1881;1886;1891;1896,1876;1881,1876;1881,36726,ZINC|Ore
Linen and Cotton Rags,Tons,WEAK,WEAK,2,1876;1886,1876,1876,36604,RAGS AND OTHER MATERIALS FOR MAKING PAPER|Linen and Cotton Rags
Feathers for Beds,CWTS (Hundredweights),WEAK,WEAK,5,1876;1881;1886;1891;1896,1886,1886,35601,FEATHERS|For Beds
Valonia,Tons,WEAK,WEAK,5,1876;1881;1886;1891;1896,1886;1891,1886;1891,34923,"DYE STUFFS, AND SUBSTANCES USED IN TANNING|Valonia"
Paper Making Materials Linen and Cotton Rags,Tons,WEAK,WEAK,3,1881;1891;1896,1881,1881,32824,"RAGS, AND OTHER MATERIALS, FOR MAKING PAPER|Linen and Cotton Rags"
Plums French and Prunelloes,CWTS (Hundredweights),WEAK,WEAK,5,1876;1881;1886;1891;1896,1896,1896,32783,BEER AND ALE|Plums (French) and Prunelloes
Cutch and Gambier,Tons,WEAK,WEAK,3,1886;1891;1896,1886,,28352,"DYE STUFFS, AND SUBSTANCES USED IN TANNING|Cutch and Gambier"
Dye Woods Unenumerated,Tons,WEAK,WEAK,5,1876;1881;1886;1891;1896,1886,1886,27272,DYE WOODS|Unenumerated
Plums Dried or Preserved,CWTS (Hundredweights),WEAK,WEAK,4,1876;1886;1891;1896,1891;1896,1891;1896,26197,"FRUIT|Plums, Dried or Preserved"
Geldings,Number,WEAK,WEAK,2,1891;1896,1896,1896,25870,"ANIMALS, LIVING|Geldings"
Pickles preserved in Vinegar,Gallons,WEAK,WEAK,2,1876;1881,1881,1881,22407,PETROLEUM|PICKLES
Madder Madder Root Garancine and Munjeet,CWTS (Hundredweights),WEAK,WEAK,2,1886;1896,1886,1886,21395,"DYE STUFFS, AND SUBSTANCES USED IN TANNING|Madder, Madder Root, Garancine and Munjeet"
Train or Blubber (Whale Oils),Tuns (whale oil),WEAK,WEAK,5,1876;1881;1886;1891;1896,1876;1881,1876;1881,21360,OIL|Train or Blubber
Spirits Unenumerated not tested,Gallons,WEAK,WEAK,2,1886;1891,1891,1891,18639,"SPIRITS|Unenumerated, Sweetened or Mixed (Tested) : Not tested, for ascertaining the strength"
Iron Old,Tons,WEAK,WEAK,2,1886;1896,1886,1886,15333,"IRON|Old Broken, and Old Cast Iron and Steel"
Shumach,Tons,WEAK,WEAK,5,1876;1881;1886;1891;1896,1876;1881,1876;1881,15172,"DYE STUFFS, AND SUBSTANCES USED IN TANNING|SHUMACH"
Ivory (Elephant Sea Cow Sea Horse or Sea Moose Teeth),CWTS (Hundredweights),WEAK,WEAK,4,1881;1886;1891;1896,,1881,12377,CANDLES|Other Kinds
Wine Red in Bottles Sparkling Burgundy,Gallons,WEAK,WEAK,2,1891;1896,1896,1896,12045,"TOBACCO|White, in Bottles, Still : Burgundy"
Bones (except Whalefins),Tons,WEAK,WEAK,3,1876;1881;1886,1886,1886,10519,BONES (EXCEPT WHALEFINS)|Applicable to Manufacturing Pur-     poses
Bones except Whalebone for Manufacturing,Tons,WEAK,WEAK,2,1891;1896,1891,1891,9678,BONES (EXCEPT WHALEFINS)|Applicable to Manufacturing Pur-     poses
Cutch,Tons,WEAK,WEAK,2,1876;1881,,1876,8947,COTTON MANUFACTURES|CUTTH
Horns Tips and Pieces of Horns and Hoofs,Tons,WEAK,WEAK,2,1876;1896,1896,1896,6385,"HORNS, TIPS AND PIECES OF HORN, AND HOOFS"
Whalebone,CWTS (Hundredweights),WEAK,WEAK,3,1886;1891;1896,1891,1891,5518,WHALEBONE (WHALEFINS)
Swords Cutlasses Bayonets and Arms of other Sorts Unenumerated,CWTS (Hundredweights),WEAK,WEAK,2,1876;1881,1876,1876,4737,"CANNON AND MORTARS, MOUNTED OR ACCOMPANIED WITH CARRIAGES|Swords, Cutlasses, Bayonets, and Arms of other     Sorts, Unenumerated"
Metal Old fit only to be re-manufactured,Tons,WEAK,WEAK,2,1886;1896,1886,1886,4735,"METAL, UNENUMERATED|Old, fit only to be re-manufactured"
Ether Sulphuric,Gallons,WEAK,WEAK,4,1876;1886;1891;1896,1891;1896,1891;1896,4505,ETHER|SULPHURIC
