gold_commodity,pipeline_fullname,method,confidence
Silk Manufactures Unenumerated,Other Kinds,exact,1.0
Silk Manufactures Velvet Plain,"Manufactures, Broad Stuffs, Velvet, plain or figured, wholly of Silk",subset,1.0
Silk Manufactures Velvet plain or figured,"Manufactures, Broad Stuffs, Velvet, plain or figured, wholly of Silk",subset,1.0
Silk Manufactures of Europe Other Kinds,Other Kinds,subset,1.0
Silk Manufactures of Silk or of Silk mixed with other Materials Unenumerated,"Manufactures of Silk, or of Silk mixed with other Materials, Unenumerated",exact,1.0
Silk Raw,"SILK, Raw",exact,1.0
Silk Thrown,Thrown,subset,1.0
Silk Thrown dyed or not,"Thrown, Dyed, or not Dyed",subset,1.0
Silk Unenumerated,Of Silk,exact,1.0
Silver Ore,"SILVER, Ore of, or Ore of which the greater part in Value is Silver None",subset,1.0
Silver Ore or Ore of which the greater part in value is Silver,"SILVER, Ore of, or Ore of which the greater part in Value is Silver None",exact,1.0
Skins Furs Pelts Goat Tanned Tawed or Dressed,Unenumerated,subset,1.0
Skins Furs Pelts Goat undressed,"Skins, Goat, undressed",subset,1.0
Skins Furs Pelts Rabbit,"Furs, Rabbit Skins",subset,1.0
Skins Furs Pelts Seal,"Furs, Seal Skins",subset,1.0
Skins Furs Pelts Sheep Tanned Tawed or Dressed,Unenumerated,subset,1.0
Skins Furs Pelts Sheep Undressed,Unenumerated,subset,1.0
Skins Furs Pelts Unenumerated Dressed not Leather,Unenumerated,subset,1.0
Skins Furs Pelts Unenumerated Other Sorts,Unenumerated,exact,1.0
Skins Furs Pelts Unenumerated Other Sorts Tanned Tawed or Dressed,Unenumerated,subset,1.0
Skins Furs Pelts Unenumerated Other Sorts Undressed,Unenumerated,subset,1.0
Skins Furs Pelts Unenumerated not being Furs Dressed and Undressed,Unenumerated,subset,1.0
Skins Furs and Pelts Articles manufactured of Skins and Furs,Articles manufactured of Skins and Furs,subset,1.0
Skins Furs and Pelts Goat and Kid Tanned Tawed or Dressed,"Goat and Kid, Tanned, Tawed, or Dressed",subset,1.0
Skins Furs and Pelts Goat and Kid Undressed,"Skins, Goat, undressed",subset,1.0
Skins Furs and Pelts Manufactures of including Rugs,"Manufactures of Skins and Furs, including Rugs",subset,1.0
Skins Furs and Pelts Sheep and Lamb Tanned Tawed or Dressed,"Sheep and Lamb, Tanned, Tawed, or Dressed",subset,1.0
Slates,SLATES None,exact,1.0
Soap Transparent in the manufacture of which Spirit has been used,"SOAP, Transparent, in the Manufacture of which Spirit has been used",exact,1.0
Specimens illustrative of Natural Science,SPECIMENS illustrative of NATURAL SCIENCE None,exact,1.0
Spermaceiti or Head Matter (Whale Oils),Spermaceti or Head Matter,exact,1.0
Spices Cinnamon,Cinnamon,subset,1.0
Spices Unenumerated,Unenumerated,exact,1.0
Spirits Brandy,Spirits None,subset,1.0
Spirits Geneva,Geneva,subset,1.0
Spirits Rum,Spirits None,subset,1.0
Spirits Sweetened or Mixed Perfumed Spirits including Water Cologne,Perfumed Spirits (including Water Cologne),subset,1.0
Spirits Sweetened or Mixed Tested,"Unenumerated, not Sweetened or Mixed",subset,1.0
Spirits Tafla,Spirits None,subset,1.0
Spirits Unenumerated,Spirits None,exact,1.0
Spirits Unenumerated including Shrub,"Perfumed Spirits (including Water Cologne) : Unenumerated, including Shrub",subset,1.0
Spirits Unenumerated not Sweetened,Spirits None,subset,1.0
Spirits Unenumerated not Sweetened or Mixed,"Unenumerated, not Sweetened or Mixed",subset,1.0
Spirits Unenumerated not tested,Spirits None,subset,1.0
Sponge,SPONGE None,exact,1.0
Stallions,Stallions,exact,1.0
Stationery other than Paper,STATIONERY other than PAPER None,exact,1.0
Steel Unwrought,"Steel, Unwrought",exact,1.0
Stones Marble,"STONES, MARBLE, SLATE, and other Sorts of Stone, Rough, Hewn, or Manufactured None",subset,1.0
Stones Marble Slate and other Sorts of Stone Rough Hewn or Manufactured,"STONES, MARBLE, SLATE, and other Sorts of Stone, Rough, Hewn, or Manufactured None",exact,1.0
Straw,Of Straw,exact,1.0
Straw For Agricultural purposes,For Agricultural purposes,subset,1.0
Straw Platting for Hats,"STRAW PLATTING, for making Hats or Bonnets None",subset,1.0
Succades and Confectionery including Fruits and Vegetables except Plums preserved in Sugar,FRUITS AND VEGETABLES: Preserved in Sugar None,subset,1.0
Succades including all Fruits and Vegetables preserved in Sugar,FRUITS AND VEGETABLES: Preserved in Sugar None,subset,1.0
Sugar Glucose Liquid or Vegetable Syrup,Glucose,subset,1.0
Sugar Refined,"Refined, or Sugar equal in quality thereto, and Sugar Candy",subset,1.0
Sugar Refined In Lumps and Loaves,In Lumps and Loaves,subset,1.0
Sugar Refined Total,"Refined, Total",subset,1.0
Sugar Refined and Sugar Candy,"Refined, or Sugar equal in quality thereto, and Sugar Candy",subset,1.0
Sugar Unrefined Beetroot,Unrefined : Beetroot,subset,1.0
Sugar Unrefined Cane and Other Sorts,"Unrefined: Cane, and Other Sorts",subset,1.0
Sugar Unrefined Total,Unrefined: Total of,subset,1.0
Swine,Swine,exact,1.0
Swine and Hogs,Swine,subset,1.0
Swords Cutlasses Bayonets and Arms of other Sorts Unenumerated,"Swords, Cutlasses, Bayonets, and Arms of other     Sorts, Unenumerated",exact,1.0
Swords Cutlasses Matchets Bayonets,"Swords, Cutlasses, Matchets, Bayonets",exact,1.0
Tallow and Stearine,TALLOW and STEARINE None,exact,1.0
Tar,TAR None,exact,1.0
Tea,TEA None,exact,1.0
Teeth Elephants Sea Cow and Sea Horses,"TEETH, Elephants', Sea Cow, and Sea Horse None",exact,1.0
Tin Manufactures Unenumerated,"Manufactures, unenumerated",subset,1.0
Tin Ore,Ore,subset,1.0
Tin in Blocks Ingots Bars or Slabs,"In Blocks, Ingots, Bars, or Slabs",subset,1.0
Tin in Blocks Ingots Bars or Slabs and Regulus,"In Blocks, Ingots, Bars, or Slabs, and Regulus",subset,1.0
Tobacco Manufactured Cavendish or Negrohead,Manufactured : Cavendish or Negrohead,subset,1.0
Tobacco Manufactured Cigars,Manufactured : Cigars,subset,1.0
Tobacco Manufactured Other Sorts,Other Manufactured Tobacco,exact,1.0
Tobacco Manufactured Snuff,Manufactured : Snuff,subset,1.0
Tobacco Unenumerated,Tobacco None,exact,1.0
Tobacco Unmanufactured,Tobacco None,subset,1.0
Toys,TOYS None,exact,1.0
Train Blubber and Spermaceti (Whale Oils),Train or Blubber,subset,1.0
Train or Blubber (Whale Oils),Train or Blubber,exact,1.0
Turpentine,Turpentine (Oil or Spirit of),exact,1.0
Turpentine Oil,Turpentine (Oil or Spirit of),subset,1.0
Valonia,Valonia,exact,1.0
Value of Articles Imported by Parcel Post,VALUE of ARTICLES Imported by PARCEL POST,exact,1.0
Varnish Not containing Alcohol,"VARNISH, CONTAINING ALCOHOL None",exact,1.0
Vegetable Ivory,"VEGETABLES, Unenumerated None",subset,1.0
Vegetable Substances applicable to the same uses as Hemp or Flax,Vegetable Substances applicable to the same   uses as Hemp or Flax,exact,1.0
Vegetables Unenumerated,"VEGETABLES, Unenumerated None",exact,1.0
Vinegar,VINEGAR None,exact,1.0
Watches,WATCHES None,exact,1.0
Wax,WAX None,exact,1.0
Whale Fins,,unmatched,0.0
Whalebone,WHALEBONE (Whalefins) None,exact,1.0
Wheat,Wheat,exact,1.0
Wheat Meal and Flour,Wheat Meal and Flour,exact,1.0
"Window Glass (not being Plate Glass), and German Sheet Glass, including Shades and Cylinders","Window Glass (not being Plate Glass), and German Sheet Glass, including Shades and Cylinders",exact,1.0
Wine Red,Red,subset,1.0
Wine Red Total of,Red: Total of,subset,1.0
Wine Red in Bottles Sparkling Burgundy,Burgundy,subset,1.0
Wine Red in Bottles Sparkling Other Sorts,Bottles,subset,1.0
Wine Red in Bottles Still,"Red, in Bottles : Still",subset,1.0
Wine Red in Casks,"Red, in Casks",subset,1.0
Wine Total of all Kinds,Total of all Kinds,subset,1.0
Wine White,White,subset,1.0
Wine White in Bottles Sparkling Burgundy,"White, in Bottles: Sparkling : Burgundy",subset,1.0
Wine White in Bottles Sparkling Champagne,"White, in Bottles: Sparkling : Champagne",subset,1.0
Wine White in Bottles Sparkling Moselle,"White, in Bottles, Sparkling : Moselle",subset,1.0
Wine White in Bottles Sparkling Other Sorts,White,subset,1.0
Wine White in Bottles Sparkling Samur,White,subset,1.0
Wine White in Bottles Still,"White, in Bottles—Still",subset,1.0
Wine White in Casks,"White, in Casks",subset,1.0
Wine in Bottles Sparkling Champagne,Bottles,subset,1.0
Wine in Bottles Sparkling Hock,Hock,subset,1.0
Wine in Bottles Sparkling Moselle,Moselle,subset,1.0
Wine in Bottles Sparkling Saumur,Saumur,subset,1.0
"Wood and Timber Fir - Sawn or Split, Planed or Dressed","Sawn or Split, Planed or Dressed : Fir",subset,1.0
Wood and Timber Furniture Woods Hardwoods and Veneers Unenumerated,Wood and Timber None,subset,1.0
Wood and Timber Hewn Fir (Other than Pit Wood or Pit Props as of 1901),"Hewn, Fir",subset,1.0
Wood and Timber Hewn Oak,Wood and Timber None,subset,1.0
Wood and Timber Hewn Teak,Wood and Timber None,subset,1.0
Wood and Timber Hewn Unenumerated,Wood and Timber None,subset,1.0
Wood and Timber House Frames Fittings and Joiners Work,"House Frames, Fittings, and Joiners' Work",subset,1.0
"Wood and Timber Sawn or Split, Planed or Dressed Unenumerated","Sawn or Split, Planed or Dressed : Unenumerated",subset,1.0
"Wood and Timber Staves - Sawn or Split, Planed or Dressed","Sawn or Split, Planed or Dressed : Unenumerated",subset,1.0
Wool Alpaca Llama and Vicuna,"Alpaca, Llama, and Vicuna",subset,1.0
Wool Goats Wool or Hair Other Sorts,Goats' Hair or Wool,exact,1.0
Wool Other kinds and Flocks,Other Kinds and Wool Flocks,exact,1.0
Wool Sheep and Lambs,Sheep or Lambs' Wool,exact,1.0
Woollen Manufactures Cloths,Unenumerated,subset,1.0
Woollen Manufactures Cloths and Stuffs,Unenumerated,subset,1.0
Woollen Manufactures Stuffs,Unenumerated,subset,1.0
Woollen Manufactures Unenumerated,Unenumerated,exact,1.0
Woollen Manufactures of Goats Wool or Hair,"Manufactures of Hair, not being of Goats' Hair   or Wool",subset,1.0
Woollen Yarn For Fancy Purposes,WOOLLEN YARN None,subset,1.0
Woollen Yarn For Weaving,WOOLLEN YARN None,subset,1.0
Woollen Yarn Unenumerated,WOOLLEN YARN None,exact,1.0
Woollen Yarn for Weaving Mixed or not with Silk,"For Weaving, Mixed or not with Silk",subset,1.0
Yeast,YEAST None,exact,1.0
Yeast Dried,"YEAST, Dried None",exact,1.0
Zinc Crude,,unmatched,0.33
Zinc Crude in Cakes,"Crude, in Cakes",subset,1.0
Zinc Manufactured,Manufactured : Other Sorts (including Cigarettes),subset,1.0
Zinc Manufactures Unenumerated,"Manufactures, unenumerated",subset,1.0
Zinc Ore,Ore,subset,1.0
